,datetime,open,high,low,close,volume
998,2025-03-19 19:00:00,181.26,182.32,178.89,179.06,98.6163
999,2025-03-19 19:30:00,178.93,180.49,178.93,180.48,91.4736
1000,2025-03-19 20:00:00,180.5,182.81,180.16,182.07,65.0419
1001,2025-03-19 20:30:00,182.07,182.11,179.74,180.34,33.8009
1002,2025-03-19 21:00:00,180.25,181.57,180.04,180.93,38.4241
1003,2025-03-19 21:30:00,180.89,181.98,180.81,181.66,23.87
1004,2025-03-19 22:00:00,181.75,182.13,181.13,181.13,36.7736
1005,2025-03-19 22:30:00,181.13,182.82,181.13,181.7,40.4534
1006,2025-03-19 23:00:00,181.89,183.01,181.35,183.01,47.124
1007,2025-03-19 23:30:00,183.01,184.53,182.44,182.5,78.2538
1008,2025-03-20 00:00:00,182.47,183.0,180.37,180.38,137.2656
1009,2025-03-20 00:30:00,180.38,180.49,178.41,178.67,60.2303
1010,2025-03-20 01:00:00,178.69,179.14,178.05,178.05,121.3065
1011,2025-03-20 01:30:00,178.06,178.06,176.98,177.2,37.1725
1012,2025-03-20 02:00:00,177.37,177.76,176.95,177.56,24.2211
1013,2025-03-20 02:30:00,177.41,178.86,177.41,178.85,109.9832
1014,2025-03-20 03:00:00,178.86,178.88,177.9,178.04,16.4218
1015,2025-03-20 03:30:00,178.04,178.88,177.81,177.81,35.1387
1016,2025-03-20 04:00:00,177.82,178.0,177.15,177.44,25.5884
1017,2025-03-20 04:30:00,177.39,177.92,177.18,177.86,18.0551
1018,2025-03-20 05:00:00,177.87,178.02,176.44,176.59,15.1132
1019,2025-03-20 05:30:00,176.48,177.34,176.43,177.19,12.3974
1020,2025-03-20 06:00:00,177.14,178.18,177.01,177.78,21.8462
1021,2025-03-20 06:30:00,177.7,177.7,176.8,177.31,18.3737
1022,2025-03-20 07:00:00,177.26,177.56,176.31,176.52,19.3415
1023,2025-03-20 07:30:00,176.33,177.09,176.33,176.63,34.8168
1024,2025-03-20 08:00:00,176.63,177.67,176.31,177.64,19.2106
1025,2025-03-20 08:30:00,177.58,178.67,177.33,178.5,30.5677
1026,2025-03-20 09:00:00,178.49,178.53,177.15,177.15,34.8707
1027,2025-03-20 09:30:00,177.16,177.98,177.06,177.26,16.5625
1028,2025-03-20 10:00:00,177.1,177.39,173.45,173.54,111.1916
1029,2025-03-20 10:30:00,173.54,174.64,173.45,174.03,73.2596
1030,2025-03-20 11:00:00,174.14,175.11,173.66,175.1,78.3845
1031,2025-03-20 11:30:00,175.11,175.55,174.94,175.41,35.7524
1032,2025-03-20 12:00:00,175.4,175.55,174.56,174.91,18.454
1033,2025-03-20 12:30:00,174.91,177.0,174.81,176.7,122.6206
1034,2025-03-20 13:00:00,176.7,176.7,175.31,175.33,26.3216
1035,2025-03-20 13:30:00,175.41,176.98,175.25,176.12,41.9351
1036,2025-03-20 14:00:00,176.1,179.37,176.04,178.46,141.3493
1037,2025-03-20 14:30:00,178.48,178.88,177.35,178.0,46.5454
1038,2025-03-20 15:00:00,177.99,178.04,175.44,176.1,132.814
1039,2025-03-20 15:30:00,176.11,176.13,174.07,174.17,78.5689
1040,2025-03-20 16:00:00,174.17,175.11,173.0,173.01,82.7462
1041,2025-03-20 16:30:00,173.0,173.39,171.62,172.27,125.6074
1042,2025-03-20 17:00:00,172.32,174.56,172.16,173.85,112.2084
1043,2025-03-20 17:30:00,173.84,174.66,173.6,174.12,68.46
1044,2025-03-20 18:00:00,174.11,175.23,173.91,174.44,35.811
1045,2025-03-20 18:30:00,174.4,174.99,173.88,173.88,11.2338
1046,2025-03-20 19:00:00,173.88,174.65,173.6,173.91,90.1139
1047,2025-03-20 19:30:00,173.94,174.92,173.94,174.82,9.8409
1048,2025-03-20 20:00:00,174.81,175.39,174.47,175.17,15.4165
1049,2025-03-20 20:30:00,175.18,175.86,174.96,175.69,19.9306
1050,2025-03-20 21:00:00,175.64,176.53,175.4,176.38,49.9843
1051,2025-03-20 21:30:00,176.43,176.77,176.33,176.4,25.5929
1052,2025-03-20 22:00:00,176.34,176.94,176.14,176.2,33.579
1053,2025-03-20 22:30:00,176.23,177.42,175.92,177.11,32.3566
1054,2025-03-20 23:00:00,177.14,177.56,176.66,177.53,58.157
1055,2025-03-20 23:30:00,177.51,178.67,177.4,178.67,56.5279
1056,2025-03-21 00:00:00,178.66,180.52,178.62,179.56,81.6469
1057,2025-03-21 00:30:00,179.54,181.75,179.25,181.75,107.3318
